CWL Season: June 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
كلان الورد,Ryan,18,hani,18,2,96.0%,2:45
كلان الورد,Juliet,18,4hm3d*46,18,3,100.0%,2:00
كلان الورد,CRASH,18,✨✨✨AARON✨✨✨,18,3,100.0%,2:02
آودان مهاباد,joshu,18,مهدی,18,2,87.0%,2:27
آودان مهاباد,brocaleb,18,Vikings,18,3,100.0%,1:58
آودان مهاباد,MonseurMaiDra,18,A.R.S.H.I.A,18,3,100.0%,2:17
آودان مهاباد,kat,18,محسن,18,3,100.0%,2:19
آودان مهاباد,CRASH,18,SHADOW,18,3,100.0%,2:08
آودان مهاباد,jay,18,ALI,18,2,70.0%,3:00
آودان مهاباد,YokoEno,18,MORNINGSTAR,18,2,60.0%,3:00
آودان مهاباد,LLoh7,18,Milad,18,2,76.0%,2:21
آودان مهاباد,Little Roodie!,18,.:WOLFTUNING:.,18,3,100.0%,1:51
آودان مهاباد,Roodies Raiders,18,karo7,18,3,100.0%,1:44
آودان مهاباد,babyacorns,18,Mortal,18,3,100.0%,1:57
آودان مهاباد,ben,18,˙⋆✮REALEUS,18,3,100.0%,2:13
آودان مهاباد,Ryan,18,☆A.H.V.A.Z.I☆,18,3,100.0%,2:10
آودان مهاباد,Brad,18,God Of War,18,3,100.0%,1:35
آودان مهاباد,Juliet,18,hsinesh,18,3,100.0%,1:47
TØURØS NEGRØS,joshu,18,ClashOfThor,18,3,100.0%,2:17
TØURØS NEGRØS,alphaster17,18,Pedro Henrique,18,2,74.0%,3:00
TØURØS NEGRØS,kat,18,TN NIK,18,2,92.0%,3:00
TØURØS NEGRØS,brocaleb,18,Guizinho,18,3,100.0%,2:01
TØURØS NEGRØS,MonseurMaiDra,18,cabuloso,18,2,74.0%,2:23
TØURØS NEGRØS,Little Roodie!,18,7GALILEU777,18,3,100.0%,2:23
TØURØS NEGRØS,Roodies Raiders,18,NOOB SAIBOT,18,3,100.0%,1:37
TØURØS NEGRØS,babyacorns,18,Pedro Henrique2,18,3,100.0%,1:50
TØURØS NEGRØS,LLoh7,18,Pedro Henrique3,18,3,100.0%,2:05
TØURØS NEGRØS,rackam,18,Kauam,18,3,100.0%,1:33
TØURØS NEGRØS,CRASH,18,LUCIANO PLAY,18,3,100.0%,2:28
TØURØS NEGRØS,Brad,18,Kauam 02,18,3,100.0%,1:57
TØURØS NEGRØS,Juliet,18,Bad B,18,3,100.0%,1:48
TØURØS NEGRØS,Ryan,18,MAIK,18,3,100.0%,1:45
TØURØS NEGRØS,ben,18,NiKlaus,18,3,100.0%,2:28
